description,category,amount
McDonald's lunch,Food,12.50
Uber ride to airport,Transportation,45.20
Netflix subscription,Entertainment,15.99
Grocery shopping at Walmart,Food,87.30
Gas station fill up,Transportation,52.00
Movie tickets,Entertainment,24.00
Coffee at Starbucks,Food,5.75
Amazon Prime membership,Entertainment,12.99
Bus fare,Transportation,2.50
Dinner at Italian restaurant,Food,68.90
Spotify premium,Entertainment,9.99
Taxi ride downtown,Transportation,18.50
Breakfast at diner,Food,15.20
Concert tickets,Entertainment,89.00
Subway sandwich,Food,8.50
Car maintenance,Transportation,125.00
Pizza delivery,Food,22.30
Hulu subscription,Entertainment,7.99
Train ticket,Transportation,35.00
Lunch at food truck,Food,11.75
Video game purchase,Entertainment,59.99
Parking fee,Transportation,8.00
Ice cream shop,Food,6.25
Theater show,Entertainment,75.00
Chinese takeout,Food,19.80
Lyft ride,Transportation,16.30
Popcorn at cinema,Food,12.00
Disney+ subscription,Entertainment,8.99
Airport shuttle,Transportation,25.00
Bakery pastries,Food,14.50
Music streaming,Entertainment,4.99
Taxi to hotel,Transportation,28.70
Sushi dinner,Food,55.40
Book purchase,Entertainment,18.99
Food court meal,Food,9.75
Cable TV bill,Entertainment,89.99
Bus pass monthly,Transportation,45.00
Candy from store,Food,3.25
Magazine subscription,Entertainment,12.00
Breakfast cereal,Food,4.50
Gaming console,Entertainment,299.99
Metro card refill,Transportation,20.00
Restaurant tip,Food,15.00
Streaming service,Entertainment,11.99
Lunch sandwich,Food,7.80
Concert merchandise,Entertainment,35.00
Bike rental,Transportation,12.00
Energy drink,Food,2.99
Movie rental,Entertainment,3.99
Grocery delivery fee,Food,5.99
Ride sharing,Transportation,22.40
Fast food combo,Food,13.25
Sports event ticket,Entertainment,95.00
Public transport,Transportation,3.75
Snacks from vending,Food,2.50
Video streaming,Entertainment,14.99
Coffee beans,Food,16.80
Entertainment magazine,Entertainment,8.50
Fruit smoothie,Food,7.25
Online game purchase,Entertainment,29.99
Train monthly pass,Transportation,85.00
Dinner appetizers,Food,18.60
Music album,Entertainment,12.99
Food delivery,Food,25.40
Parking meter,Transportation,4.50
Chocolate bar,Food,1.99
TV show season,Entertainment,24.99
Breakfast bagel,Food,3.75
Theme park ticket,Entertainment,115.00
Car wash,Transportation,15.00
Grocery snacks,Food,8.90
Newspaper subscription,Entertainment,9.99
Lunch salad,Food,11.50
Game subscription,Entertainment,19.99
Bus ticket,Transportation,6.25
Tea from cafe,Food,4.25
Movie theater snacks,Entertainment,18.50
Dinner for two,Food,89.30
Audio book,Entertainment,16.99
Taxi fare,Transportation,31.20
Bakery bread,Food,5.50
Concert streaming,Entertainment,9.99
Fast casual lunch,Food,14.75
Entertainment app,Entertainment,5.99
Parking garage,Transportation,12.00
Grocery produce,Food,23.40
Music concert,Entertainment,125.00
Food truck dinner,Food,16.50
Streaming movie,Entertainment,4.99
Train fare,Transportation,8.75
Morning coffee,Food,3.50
Gaming accessory,Entertainment,45.00
Restaurant breakfast,Food,12.80
Entertainment news,Entertainment,6.99
Fuel purchase,Transportation,48.90
Lunch special,Food,13.99
Online entertainment,Entertainment,22.99
Public bus,Transportation,2.25
Bakery cake,Food,28.50
Sports streaming,Entertainment,39.99
Dinner reservation,Food,95.20
Digital magazine,Entertainment,7.50
Rideshare tip,Transportation,5.00
